question,answers
Comment nomme-t-on les taches blanches situées sur la partie inférieure des pattes de certains chevaux ?,balzanes
Où se situe le mégalithe de Stonehenge ?,angleterre|royaume-uni|grande-bretagne
En quelle année la guerre de sécession a-t-elle prit fin ?,1865
Dans quelle ville fut assassiné Martin Luther King ?,memphis
Quel programme de la NASA réussit à envoyer des hommes sur la lune le 21 juillet 1969 ?,apollo
Qui fut le premier navigateur à avoir effectué le tour du monde ?,juan sebastián elkano|elkano
Combien de croisades vers l’Orient y a-t-il eu au total ?,8
Qui fut le premier président démocrate des Etats-Unis ?,andrew jackson
Combien de fois Michael Schumacher a-t-il été champion du monde de  Formule 1 ?,7
Quel est l’autre nom du Tour d’Italie ?,giro
Quel est le surnom de l’équipe de France de Handball ?,les experts
Quel est le pays d’origine du groupe de musique ABBA ?,suède
Qui a remporté l’épreuve du 50m nage libre aux Jeux Olympiques de Londres 2012 ?,florent manaudou
Combien de minutes dure un match de Rugby ?,80
Lequel de ces chats est originaire de Thaïlande : le Siamois - le Sphix ou le Maine?,siamois
En D: adjectif relatif à quelque chose de très élogieux ou d’un enthousiasme excessif,Dithyrambique
« Veritas est adaequatio intellectus et rei ». De qui est cette maxime latine signifiant « La vérité est l’adéquation de l’intellect et de la chose » ?,saint augustin
La vitesse exacte de propagation de la lumière dans le vide est de 302 967 001 m/s. Vrai ou faux ?,faux
Comment nomme-t-on le cercle tangent à tous les côtés d’un carré ?,cercle inscrit
Qu’a inventé Thomas Edison en 1878?,phonographe
Quel est le symbole du Tungstène ?,w
Qui est à l’origine de l’héliocentrisme; doctrisne selon laquelle la terre et les autres planètes gravitent autour du Soleil ?,copernic
Qui est l’auteur des lois de l’hybridation l’un des fondements de la génétique ?,mendel
« Je te hais autant que je t’aime ». De qui sont ces vers ?,baudelaire
Qui est l’auteur d’Alice aux pays des merveilles ?,lewis carroll|carroll